,name,description,units,valid values,var_type,min,max
188,all7347,Percentage of trades reported in the last 12 months including collections that are 30 or more days delinquent or derogatory occurred in the last 12 months,%,0-100,numeric,0,100
189,all7350,Percentage of trades including collections that are ever 60 or more days delinquent or derogatory,%,0-100,numeric,0,100
190,all7358,Percentage of trades reported in the last 24 months including collections that are 60 or more days delinquent or derogatory occurred in the last 24 months,%,0-100,numeric,0,100
191,all7360,Percentage of trades including collections that are ever 90 or more days delinquent or derogatory,%,0-100,numeric,0,100
192,all7370,Percentage of trades including collections that are ever derogatory,%,0-100,numeric,0,100
193,all7442,Percentage of trades reported in the last 6 months excluding collections that are 30 or more days delinquent or derogatory occurred in the last 6 months,%,0-100,numeric,0,100
194,all7460,Percentage of trades excluding collections that are ever 90 or more days delinquent or derogatory,%,0-100,numeric,0,100
195,all7470,Percentage of trades excluding collections that are ever derogatory,%,0-100,numeric,0,100
196,all7516,Percentage of open trades that were opened in the last 6 months ,%,0-100,numeric,0,100
197,all7517,Percentage of open trades that were opened in the last 12 months ,%,0-100,numeric,0,100
198,all7518,Percentage of open trades that were opened in the last 24 months ,%,0-100,numeric,0,100
199,all7936,Percentage of trades reported in the last 6 months including collections that are never delinquent or derogatory occurred in the last 6 months,%,0-100,numeric,0,100
200,all8020,Total number of months since all trades were opened excluding collections,Months,0-999990,numeric,0,999990
201,all8026,Total number of months since all bankruptcy trades were opened,Months,0-999990,numeric,0,999990
202,all8110,Number of months since the most recently closed trade excluding presently derogatory trades and collections,Months,0-9990,numeric,0,9990
203,all8122,Number of months since the most recently opened open trade excluding collections,Months,0-9990,numeric,0,9990
204,all8150,"Number of months since the most recent 30 days delinquency on trades, excluding collections and other unsatisfied derogatory including indeterminates",Months,0-9990,numeric,0,9990
205,all8151,"Number of months since the most recent 30-180 days delinquency on trades, excluding collections and other unsatisfied derogatory including indeterminates",Months,0-9990,numeric,0,9990
206,all8154,"Number of months since the most recently cured 30-180 days delinquency in the last 24 months, excluding collections and other unsatisfied derogatory including indeterminates",Months,0-9990,numeric,0,9990
207,all8157,"Number of months since the most recent 90-180 days delinquency on trades, excluding collections and other unsatisfied derogatory including indeterminates",Months,0-9990,numeric,0,9990
208,all8162,Number of months since the most recent unsatisfied repossession including indeterminates,Months,0-9990,numeric,0,9990
209,all8163,Number of months since the most recent repossession including indeterminates,Months,0-9990,numeric,0,9990
210,all8167,Number of months since the most recent bankruptcy trade including indeterminates,Months,0-9990,numeric,0,9990
211,all8170,Shortest life span of a trade (in months) excluding collections including indeterminates,Months,0-9990,numeric,0,9990
212,all8171,Shortest duration (in months) in between two 30 days delinquencies excluding collections including indeterminates,Months,0-90,numeric,0,90
213,all8172,Shortest duration (in months) in between two 30-180 days delinquencies excluding collections including indeterminates,Months,0-90,numeric,0,90
214,all8221,Number of months since the oldest and never delinquent or derogatory trade was opened including indeterminates,Months,0-9990,numeric,0,9990
215,all8223,Number of months since the oldest and ever 90 or more days delinquent or derogatory trades was opened excluding collections including indeterminates,Months,0-9990,numeric,0,9990
216,all8250,"Number of months since the oldest 30 days delinquency on trades, excluding collections including indeterminates",Months,0-9990,numeric,0,9990
217,all8253,"Number of months since the oldest 60 days delinquency on trades, excluding collections including indeterminates",Months,0-9990,numeric,0,9990
218,all8257,"Number of months since the oldest 90-180 days delinquency on trades, excluding collections including indeterminates",Months,0-9990,numeric,0,9990
219,all8259,"Number of months since the oldest derogatory occurrence on trades, excluding collections including indeterminates",Months,0-9990,numeric,0,9990
220,all8270,Longest life span of a trade (in months) excluding collections including indeterminates,Months,0-9990,numeric,0,9990
221,all8271,Longest duration (in months) in between two 30 days delinquencies excluding collections including indeterminates,Months,0-90,numeric,0,90
222,all8321,Average number of months since never delinquent or derogatory trades were opened including indeterminates,Months,0-9990,numeric,0,9990
223,all8325,Average number of months since ever 90 or more days delinquent or derogatory trades were opened including collections and indeterminates,Months,0-9990,numeric,0,9990
224,all8351,"Average number of months on trades since the most recent 30, 60, 90, and 120-180 days delinquency and derogatory excluding collections including indeterminates",Months,0-9990,numeric,0,9990
225,all8352,"Average number of months on trades since the most recent 30, 60, 90, and 120-180 days delinquency and derogatory including collections and indeterminates",Months,0-9990,numeric,0,9990
226,all8354,Average number of months on trades since the most recent 90 and 120-180 days delinquency and derogatory excluding collections including indeterminates,Months,0-9990,numeric,0,9990
227,all8370,Average life span of a trade (in months) excluding collections including indeterminates,Months,0-9990,numeric,0,9990
228,all8423,Number of days between oldest and most recent trade opened in the last 30 days excluding collections including indeterminates,Days,0-990,numeric,0,990
229,all8552,Number of months since the most recent 30 or more days delinquency or derogatory excluding collections including indeterminates,Months,0-9990,numeric,0,9990
230,all8555,Number of months since the most recent 60 or more days delinquency or derogatory excluding collections including indeterminates,Months,0-9990,numeric,0,9990
231,all8558,Number of months since the most recent 90 or more days delinquency or derogatory excluding collections including indeterminates,Months,0-9990,numeric,0,9990
232,all8560,Number of months since the most recent derogatory on trades excluding collections including indeterminates,Months,0-9990,numeric,0,9990
233,all8723,Average number of days between open dates for trades opened in the last 30 days excluding collections including indeterminates (requires 2 or more trades),Days,0-990,numeric,0,990
234,all8725,Average number of days between open dates for trades opened in the last 3 months excluding collections including indeterminates (requires 2 or more trades),Days,0-990,numeric,0,990
235,all8800,"Most recent month of the longest consecutive months with a satisfactory balance activity status on trades, excluding collections and other unsatisfied derogatory including indeterminates",Months,0-9990,numeric,0,9990
236,all9118,Total number of public records filed within the last 24 months,PubRec,0-90,numeric,0,90
237,all9122,Total number of public record dismissed bankruptcies,PubRec,0-90,numeric,0,90
238,all9125,Total number of public record bankruptcies with status reported in the last 24 months,PubRec,0-90,numeric,0,90
239,all9130,Total number of public record judgments,PubRec,0-90,numeric,0,90
240,all9134,Total number of public record judgments with status reported in the last 12 months,PubRec,0-90,numeric,0,90
241,all9135,Total number of public record judgments with status reported in the last 24 months,PubRec,0-90,numeric,0,90
242,all9138,Total number of public record judgments filed within the last 24 months,PubRec,0-90,numeric,0,90
243,all9139,Total number of public record judgments with amount > $1000,PubRec,0-90,numeric,0,90
244,all9141,Total number of unpaid public record tax liens,PubRec,0-90,numeric,0,90
245,all9145,Total number of public record tax liens with status reported in the last 24 months,PubRec,0-90,numeric,0,90
246,all9148,Total number of public record tax liens filed within the last 24 months,PubRec,0-90,numeric,0,90
247,all9160,Total number of public record chapter 13 bankruptcies,PubRec,0-90,numeric,0,90
248,all9171,Total number of unpaid public record tax liens with amount > $500,PubRec,0-90,numeric,0,90
249,all9177,Total number of unpaid public record tax liens filed within the last 12 months,PubRec,0-90,numeric,0,90
250,all9178,Total number of unpaid public record tax liens filed within the last 24 months,PubRec,0-90,numeric,0,90
251,all9187,Total number of pending public record judgments filed within the last 12 months,PubRec,0-90,numeric,0,90
252,all9188,Total number of pending public record judgments filed within the last 24 months,PubRec,0-90,numeric,0,90
253,all9189,Total number of pending public record judgments with amount > $1000,PubRec,0-90,numeric,0,90
254,all9210,Number of months since the most recent public record filed,Months,0-9990,numeric,0,9990
255,all9219,Number of months since the most recent public record status date,Months,0-9990,numeric,0,9990
256,all9220,Number of months since the most recent public record bankruptcy filed,Months,0-9990,numeric,0,9990
257,all9222,Number of months since the most recent public record bankruptcy dismissed ,Months,0-9990,numeric,0,9990
258,all9223,Number of months since the most recent public record bankruptcy filed excluding dismissed and discharged,Months,0-9990,numeric,0,9990
259,all9226,Number of months since the most recent public record bankruptcy discharged,Months,0-9990,numeric,0,9990
260,all9229,Number of months since the most recent public record bankruptcy status date,Months,0-9990,numeric,0,9990
261,all9230,Number of months since the most recent public record judgment filed,Months,0-9990,numeric,0,9990
262,all9240,Number of months since the most recent unpaid public record tax lien filed,Months,0-9990,numeric,0,9990
263,all9249,Number of months since the most recent public record tax lien status date,Months,0-9990,numeric,0,9990
264,all9250,Number of months since the most recent public record chapter 7 bankruptcy status date,Months,0-9990,numeric,0,9990
265,all9260,Number of months since the most recent public record chapter 13 bankruptcy status date,Months,0-9990,numeric,0,9990
266,all9280,Number of months since the most recent pending public record judgment filed,Months,0-9990,numeric,0,9990
267,all9330,Total amount on public record judgments,$,0-999999990,numeric,0,999999990
268,all9380,Total amount on pending public record judgments,$,0-999999990,numeric,0,999999990
269,all9950,"Presence of outstanding federal debts, including default student loans, federal tax lien, unpaid child/family support, or other miscellaneous debts excluding collections including indeterminates",Flag,0-1,string,0,1
270,all9951,"Presence of outstanding governmental agency debts, including default student loans, tax lien, unpaid child/family support, or other miscellaneous debts excluding collections including indeterminates",Flag,0-1,string,0,1
271,aua0300,Total number of auto loan or lease trades,Trades,0-90,numeric,0,90
272,aua0416,Total number of open auto loan or lease trades reported in the last 6 months ,Trades,0-90,numeric,0,90
273,aua0426,Total number of open auto loan or lease trades reported in the last 6 months that will mature in the next 6 months,Trades,0-90,numeric,0,90
274,aua0436,Total number of open auto loan or lease trades opened in the last 6 months ,Trades,0-90,numeric,0,90
275,aua1305,Total number of early payoff auto loan or lease trades never delinquent or derogatory with 1 or more months remaining to maturity ,Trades,0-90,numeric,0,90
276,aua1380,Total number of auto loan or lease trades never delinquent or derogatory occurred in the last 24 months,Trades,0-90,numeric,0,90
277,aua2320,Total number of auto loan or lease trades ever 30 or more days delinquent or derogatory,Trades,0-90,numeric,0,90
278,aua2350,Total number of auto loan or lease trades ever 60 or more days delinquent or derogatory ,Trades,0-90,numeric,0,90
279,aua2358,Total number of auto loan or lease trades ever 60 or more days delinquent or derogatory occurred in the last 24 months,Trades,0-90,numeric,0,90
280,aua2388,Total number of auto loan or lease trades ever 90 or more days delinquent or derogatory occurred in the last 24 months,Trades,0-90,numeric,0,90
281,aua5020,Total balance on open auto loan or lease trades reported in the last 6 months ,$,0-999999990,numeric,0,999999990
282,aua5400,Maximum credit amount on auto loan or lease trades including indeterminates,$,0-999999990,numeric,0,999999990
